Accession,Pangolin,Length,Country,Collection_Date,Year,Month,Day
OQ050229,AY.43,29806,Switzerland,2021-12-09,2021,12,9
ON982605,AY.4,29817,Switzerland,2021-12-14,2021,12,14
ON982607,B.1.617.2,29842,Switzerland,2021-12-09,2021,12,9
ON982612,AY.129,29824,Switzerland,2021-11-16,2021,11,16
ON209723,B.1.1.323,29836,Switzerland,2020-04-15,2020,4,15
ON209724,B.1.1,29836,Switzerland,2020-04-14,2020,4,14
ON209725,B.1,29836,Switzerland,2020-04-08,2020,4,8
ON209726,B.1.9,29836,Switzerland,2020-03-26,2020,3,26
ON209728,B.1,29836,Switzerland,2020-03-27,2020,3,27
ON209735,B.1.1,29836,Switzerland,2020-03-27,2020,3,27
ON209742,B.1.1.1,29836,Switzerland,2020-04-16,2020,4,16
ON209762,B.1.1.323,29836,Switzerland,2020-03-26,2020,3,26
ON209815,B.1.1,29836,Switzerland,2020-05-03,2020,5,3
ON209818,B.1.147,29836,Switzerland,2020-03-17,2020,3,17
ON209844,B.1.1.33,29708,Switzerland,2020-04-18,2020,4,18
ON203139,B.1.93,29855,Switzerland,2020-03-18,2020,3,18
ON159859,B.1.128,29836,Switzerland,2020-03-16,2020,3,16
OL689430,B.1.1.7,29839,Switzerland,2020-12-23,2020,12,23
OL675863,B.1,29871,Switzerland,2020-02-27,2020,2,27
OU819228,B.1.617.2,29881,Switzerland,2021-08-23,2021,8,23
OU819237,AY.43,29890,Switzerland,2021-08-24,2021,8,24
OU819291,AY.46.6,29890,Switzerland,2021-08-15,2021,8,15
OU819312,AY.122,29890,Switzerland,2021-08-20,2021,8,20
OU819315,AY.42,29890,Switzerland,2021-08-25,2021,8,25
OU819437,AY.4,29890,Switzerland,2021-08-17,2021,8,17
OU819488,AY.9.2,29890,Switzerland,2021-08-18,2021,8,18
OU819507,AY.125,29890,Switzerland,2021-08-12,2021,8,12
OU819514,AY.98.1,29890,Switzerland,2021-08-30,2021,8,30
OU819522,AY.112,29890,Switzerland,2021-08-27,2021,8,27
OU819526,AY.60,29890,Switzerland,2021-08-27,2021,8,27
OU819636,AY.4.6,29880,Switzerland,2021-08-15,2021,8,15
OU819793,AY.94,29890,Switzerland,2021-08-20,2021,8,20
OU819804,AY.33,29879,Switzerland,2021-08-24,2021,8,24
OU819814,AY.26,29890,Switzerland,2021-08-20,2021,8,20
OU820154,AY.41,29891,Switzerland,2021-08-28,2021,8,28
OU820170,AY.124,29890,Switzerland,2021-08-17,2021,8,17
OU820199,AY.129,29890,Switzerland,2021-08-20,2021,8,20
OQ082914,AY.3,29785,Mexico,2021-11-29,2021,11,29
OQ082915,AY.20,29843,Mexico,2021-11-18,2021,11,18
OQ082917,AY.113,29824,Mexico,2021-11-21,2021,11,21
OQ082920,AY.26,29831,Mexico,2021-11-20,2021,11,20
OQ082921,AY.26,29826,Mexico,2021-12-03,2021,12,3
OQ082922,AY.113,29806,Mexico,2021-12-06,2021,12,6
OQ082925,AY.25.1,29811,Mexico,2021-11-18,2021,11,18
OQ082926,AY.103,29809,Mexico,2021-11-18,2021,11,18
OQ082978,AY.100,29821,Mexico,2021-11-23,2021,11,23
OQ082982,AY.20,29808,Mexico,2021-12-01,2021,12,1
OQ082992,AY.44,29854,Mexico,2021-12-01,2021,12,1
OQ082998,AY.118,29843,Mexico,2021-11-17,2021,11,17
OQ083003,AY.44,29835,Mexico,2021-11-25,2021,11,25
OQ083008,AY.39,29826,Mexico,2021-12-01,2021,12,1
OQ083012,AY.25,29805,Mexico,2021-11-20,2021,11,20
OQ083017,AY.100,29838,Mexico,2021-12-01,2021,12,1
OQ083025,AY.39,29830,Mexico,2021-11-23,2021,11,23
OQ083047,AY.47,29845,Mexico,2021-11-22,2021,11,22
OQ083100,AY.62,29818,Mexico,2021-11-08,2021,11,8
OQ083147,AY.43,29836,Mexico,2021-11-24,2021,11,24
OQ083159,AY.13,29811,Mexico,2021-11-18,2021,11,18
OQ083189,B.1.617.2,29678,Mexico,2021-11-10,2021,11,10
OQ083226,AY.116.1,29809,Mexico,2021-11-17,2021,11,17
OQ083235,AY.122,29843,Mexico,2021-11-16,2021,11,16
OQ083275,AY.3,29661,Mexico,2021-12-03,2021,12,3
OQ083337,AY.119.2,29818,Mexico,2021-11-25,2021,11,25
OQ083370,AY.119.2,29806,Mexico,2021-12-01,2021,12,1
OQ083374,AY.103,29805,Mexico,2021-12-01,2021,12,1
OQ083457,AY.25,29815,Mexico,2021-12-02,2021,12,2
OQ083476,AY.25.1,29808,Mexico,2021-12-01,2021,12,1
OQ083537,AY.122.4,29805,Mexico,2021-11-29,2021,11,29
OQ083561,AY.127,29821,Mexico,2021-11-30,2021,11,30
OQ083608,AY.122.4,29811,Mexico,2021-12-06,2021,12,6
OQ083647,AY.5,29842,Mexico,2021-11-19,2021,11,19
OQ083784,AY.119.1,29805,Mexico,2021-11-22,2021,11,22
OQ083839,AY.114,29803,Mexico,2021-12-02,2021,12,2
OQ083889,AY.117,29819,Mexico,2021-11-29,2021,11,29
OQ083956,AY.62,29829,Mexico,2021-12-08,2021,12,8
OQ084075,AY.122,29837,Mexico,2021-12-17,2021,12,17
OQ084190,AY.20,29807,Mexico,2022-01-02,2022,1,2
OQ084206,AY.101,29806,Mexico,2021-12-10,2021,12,10
OQ084212,AY.118,29811,Mexico,2021-12-08,2021,12,8
OQ084384,AY.42,29810,Mexico,2021-12-17,2021,12,17
OQ084390,B.1.617.2,29800,Mexico,2021-12-26,2021,12,26
OQ084398,AY.26,29794,Mexico,2022-01-07,2022,1,7
OQ084411,AY.43,29844,Mexico,2021-12-02,2021,12,2
OQ084449,AY.113,29814,Mexico,2022-01-03,2022,1,3
OQ084451,AY.44,29805,Mexico,2022-01-06,2022,1,6
OQ084452,AY.100,29845,Mexico,2022-01-06,2022,1,6
OQ084469,AY.39,29839,Mexico,2022-01-03,2022,1,3
OQ084488,AY.3,29824,Mexico,2022-01-04,2022,1,4
OQ084505,AY.4,29846,Mexico,2021-12-13,2021,12,13
OQ084508,AY.103,29803,Mexico,2022-01-03,2022,1,3
OQ084543,AY.3.1,29635,Mexico,2021-11-23,2021,11,23
OQ084629,AY.43,29822,Mexico,2022-01-03,2022,1,3
OQ084949,AY.25,29841,Mexico,2022-01-16,2022,1,16
OQ084955,AY.34,29845,Mexico,2022-01-13,2022,1,13
