Accession,Pangolin,Protein,Length,Country,Collection_Date,Year,Month,Day
UUT03020,B.1.1.529,ORF1ab polyprotein,7093,Egypt,2022-05-13,2022,5,13
UUT03021,B.1.1.529,ORF1a polyprotein,4402,Egypt,2022-05-13,2022,5,13
UUT03022,B.1.1.529,surface glycoprotein,1270,Egypt,2022-05-13,2022,5,13
UUT03023,B.1.1.529,ORF3a protein,275,Egypt,2022-05-13,2022,5,13
UUT03024,B.1.1.529,envelope protein,75,Egypt,2022-05-13,2022,5,13
UUT03025,B.1.1.529,membrane glycoprotein,222,Egypt,2022-05-13,2022,5,13
UUT03026,B.1.1.529,ORF6 protein,61,Egypt,2022-05-13,2022,5,13
UUT03027,B.1.1.529,ORF7a protein,121,Egypt,2022-05-13,2022,5,13
UUT03028,B.1.1.529,ORF7b protein,43,Egypt,2022-05-13,2022,5,13
UUT03029,B.1.1.529,ORF8 protein,121,Egypt,2022-05-13,2022,5,13
UUT03030,B.1.1.529,nucleocapsid phosphoprotein,416,Egypt,2022-05-13,2022,5,13
UUT03031,B.1.1.529,ORF10 protein,38,Egypt,2022-05-13,2022,5,13
UUT03068,BA.2,ORF1ab polyprotein,7093,Egypt,2022-05-19,2022,5,19
UUT03069,BA.2,ORF1a polyprotein,4402,Egypt,2022-05-19,2022,5,19
UUT03070,BA.2,surface glycoprotein,1270,Egypt,2022-05-19,2022,5,19
UUT03071,BA.2,ORF3a protein,275,Egypt,2022-05-19,2022,5,19
UUT03072,BA.2,envelope protein,75,Egypt,2022-05-19,2022,5,19
UUT03073,BA.2,membrane glycoprotein,222,Egypt,2022-05-19,2022,5,19
UUT03074,BA.2,ORF6 protein,61,Egypt,2022-05-19,2022,5,19
UUT03075,BA.2,ORF7a protein,121,Egypt,2022-05-19,2022,5,19
UUT03076,BA.2,ORF7b protein,43,Egypt,2022-05-19,2022,5,19
UUT03077,BA.2,ORF8 protein,121,Egypt,2022-05-19,2022,5,19
UUT03078,BA.2,nucleocapsid phosphoprotein,416,Egypt,2022-05-19,2022,5,19
UUT03079,BA.2,ORF10 protein,38,Egypt,2022-05-19,2022,5,19
UUT03128,B.1.1,ORF1ab polyprotein,7093,Egypt,2022-06-28,2022,6,28
UUT03129,B.1.1,ORF1a polyprotein,4402,Egypt,2022-06-28,2022,6,28
UUT03130,B.1.1,surface glycoprotein,1270,Egypt,2022-06-28,2022,6,28
UUT03131,B.1.1,ORF3a protein,275,Egypt,2022-06-28,2022,6,28
UUT03132,B.1.1,envelope protein,75,Egypt,2022-06-28,2022,6,28
UUT03133,B.1.1,membrane glycoprotein,222,Egypt,2022-06-28,2022,6,28
UUT03134,B.1.1,ORF6 protein,61,Egypt,2022-06-28,2022,6,28
UUT03135,B.1.1,ORF7a protein,121,Egypt,2022-06-28,2022,6,28
