Accession,Pangolin,Length,Country,Collection_Date,Year,Month,Day
OP722492,BA.5.1,29746,Denmark,2022-07-11,2022,7,11
OP722493,BA.2.23,29752,Denmark,2022-04-24,2022,4,24
OP271296,BA.1,29775,Denmark,2021-12-15,2021,12,15
OP271297,AY.42,29777,Denmark,2021-07-21,2021,7,21
ON809567,B,29862,Denmark,2020-04,2020,4,1
ON763516,B.1,29809,Denmark,2020-03-09,2020,3,9
ON763756,P.1.17,29791,Denmark,2021-05-27,2021,5,27
OM618106,BA.2,29777,Denmark,2021-12-31,2021,12,31
OM443077,B.1.617.2,29794,Denmark,2021-05-04,2021,5,4
OM444216,B.1.617.2,29828,Denmark,2021-04-02,2021,4,2
OK041529,B.1.1.7,29786,Denmark,2021-05-29,2021,5,29
MZ049597,B.1,29869,Denmark,2020-05-20,2020,5,20
MZ049598,B.1,29778,Denmark,2020-06-20,2020,6,20
MT919525,B.1.1.298,29836,Denmark,2020-06-14,2020,6,14
MT919531,B.1.1,29836,Denmark,2020-06-14,2020,6,14
OQ423331,BQ.1.1,29606,France,2022-10-28,2022,10,28
OQ423333,BQ.1,29762,France,2022-11-30,2022,11,30
OQ423334,BA.5.1.15,29754,France,2022-11-06,2022,11,6
OQ423335,BA.5.2,29761,France,2022-11-03,2022,11,3
OQ423337,BQ.1.1,29764,France,2022-11-28,2022,11,28
OQ423338,BQ.1.1,29762,France,2022-12-09,2022,12,9
OQ423341,BQ.1,29762,France,2022-12-05,2022,12,5
OQ423353,BA.5.2.33,29751,France,2022-10-21,2022,10,21
OQ423354,BF.7,29755,France,2022-10-04,2022,10,4
OQ423358,BE.1.1,29749,France,2022-10-05,2022,10,5
OQ423363,BQ.1.5,29759,France,2022-11-17,2022,11,17
OQ423365,CE.1,29760,France,2022-09-29,2022,9,29
OQ423368,BA.5.2.6,29740,France,2022-10-07,2022,10,7
OQ423370,BQ.1.1.18,29768,France,2022-11-07,2022,11,7
OQ423378,BE.1.1.1,29758,France,2022-10-17,2022,10,17
OQ423379,BF.7,29762,France,2022-09-18,2022,9,18
OQ423386,BA.5.2,29762,France,2022-08-11,2022,8,11
OQ423388,BA.5.1.8,29762,France,2022-09-09,2022,9,9
OQ423390,BA.5.1,29765,France,2022-07-21,2022,7,21
OQ423395,BA.5.1.2,29623,France,2022-07-15,2022,7,15
OQ423397,BA.5.1,29614,France,2022-06-29,2022,6,29
OQ423402,BA.5.2,29738,France,2022-07-19,2022,7,19
OQ423412,BA.5.2.20,29617,France,2022-07-11,2022,7,11
OQ423415,BA.5.1.3,29739,France,2022-06-30,2022,6,30
OQ423424,BA.5.2.1,29756,France,2022-07-18,2022,7,18
OQ423441,BA.4.1,29738,France,2022-06-14,2022,6,14
OQ423445,BA.2.9,29729,France,2022-05-21,2022,5,21
OQ423448,BA.2.3,29753,France,2022-05-23,2022,5,23
OQ423455,BA.2,29754,France,2022-05-03,2022,5,3
OQ423456,BA.2,29684,France,2022-04-19,2022,4,19
OQ423467,BA.2,29753,France,2022-03-29,2022,3,29
OP646492,B.1.6,29702,France,2020-03-13,2020,3,13
OP646493,B.1,29694,France,2020-03-16,2020,3,16
OP646494,B.1.1,29699,France,2020-03-19,2020,3,19
OP646497,B.1.356,29702,France,2020-03-22,2020,3,22
OP646508,B.1,29698,France,2020-04-06,2020,4,6
OP646512,B.1.1,29702,France,2020-04-10,2020,4,10
OP646515,B.1.6,29702,France,2020-04-15,2020,4,15
OP646525,B.1,29702,France,2020-05-01,2020,5,1
OP646529,B.1.416,29702,France,2020-07-13,2020,7,13
OP646532,B.1.160,29701,France,2020-08-04,2020,8,4
OP646536,B.1,29702,France,2020-08-10,2020,8,10
OP646538,B.1.367,29702,France,2020-08-10,2020,8,10
OP646541,B.1.177,29702,France,2020-08-12,2020,8,12
OP646546,B.1.389,29702,France,2020-08-14,2020,8,14
OP646548,B.1.416,29678,France,2020-08-17,2020,8,17
OP646556,B.1.416.1,29638,France,2020-08-17,2020,8,17
OP646563,B.1.1.269,29702,France,2020-08-19,2020,8,19
OP646569,AH.2,29702,France,2020-08-27,2020,8,27
OP646570,B.1.367,29702,France,2020-09-01,2020,9,1
OP646571,B.1.221,29696,France,2020-09-01,2020,9,1
OP646573,B.1.177,29702,France,2020-09-10,2020,9,10
OP646575,B.1.1.269,29702,France,2020-09-10,2020,9,10
OP646587,B.1.1.241,29596,France,2020-10-12,2020,10,12
OP646588,B.1.177,29702,France,2020-10-13,2020,10,13
OP646589,B.1.1.269,29702,France,2020-10-20,2020,10,20
OP646592,B.1.160,29702,France,2020-11-09,2020,11,9
OP646598,B.1.351.2,29684,France,2021-01-28,2021,1,28
OP606462,BA.1.17,29663,France,2021-11-28,2021,11,28
OP606469,BA.1.17.2,29663,France,2021-08-28,2021,8,28
OP606470,AY.43,29689,France,2021-08-30,2021,8,30
OP606472,AY.43,29689,France,2021-12-21,2021,12,21
OP606476,AY.98.1,29689,France,2021-12-24,2021,12,24
OP606482,AY.4,29689,France,2021-12-24,2021,12,24
OP606490,AY.127,29689,France,2021-12-29,2021,12,29
OP606491,AY.4.2.3,29689,France,2021-12-29,2021,12,29
OP606499,BA.1.18,29663,France,2021-12-31,2021,12,31
OP606513,AY.4,29689,France,2022-01-03,2022,1,3
OP606519,BA.1.1.1,29666,France,2022-01-03,2022,1,3
OP606524,AY.43,29689,France,2022-01-03,2022,1,3
OP606527,BA.1.20,29663,France,2022-01-03,2022,1,3
OP606528,BA.1.1,29666,France,2022-01-03,2022,1,3
OP606530,BA.1.18,29663,France,2022-01-05,2022,1,5
