Accession,Pangolin,Protein,Length,Country,Collection_Date,Year,Month,Day
UTJ89995,BA.2.10,ORF1ab polyprotein,7093,Bangladesh,2022-01-27,2022,1,27
UTJ89996,BA.2.10,ORF1a polyprotein,4402,Bangladesh,2022-01-27,2022,1,27
UTJ89997,BA.2.10,surface glycoprotein,1270,Bangladesh,2022-01-27,2022,1,27
UTJ89998,BA.2.10,ORF3a protein,275,Bangladesh,2022-01-27,2022,1,27
UTJ89999,BA.2.10,envelope protein,75,Bangladesh,2022-01-27,2022,1,27
UTJ90000,BA.2.10,membrane glycoprotein,222,Bangladesh,2022-01-27,2022,1,27
UTJ90001,BA.2.10,ORF6 protein,61,Bangladesh,2022-01-27,2022,1,27
UTJ90002,BA.2.10,ORF7a protein,121,Bangladesh,2022-01-27,2022,1,27
UTJ90003,BA.2.10,ORF7b protein,43,Bangladesh,2022-01-27,2022,1,27
UTJ90004,BA.2.10,ORF8 protein,121,Bangladesh,2022-01-27,2022,1,27
UTJ90005,BA.2.10,nucleocapsid phosphoprotein,416,Bangladesh,2022-01-27,2022,1,27
UTJ90006,BA.2.10,ORF10 protein,38,Bangladesh,2022-01-27,2022,1,27
USX88685,B.1.617.2,ORF1ab polyprotein,7096,Bangladesh,2021-07-07,2021,7,7
USX88686,B.1.617.2,ORF1a polyprotein,4405,Bangladesh,2021-07-07,2021,7,7
USX88687,B.1.617.2,surface glycoprotein,1271,Bangladesh,2021-07-07,2021,7,7
USX88688,B.1.617.2,ORF3a protein,275,Bangladesh,2021-07-07,2021,7,7
USX88689,B.1.617.2,envelope protein,75,Bangladesh,2021-07-07,2021,7,7
USX88690,B.1.617.2,membrane glycoprotein,222,Bangladesh,2021-07-07,2021,7,7
USX88691,B.1.617.2,ORF6 protein,61,Bangladesh,2021-07-07,2021,7,7
USX88692,B.1.617.2,ORF7a protein,121,Bangladesh,2021-07-07,2021,7,7
USX88693,B.1.617.2,ORF7b protein,43,Bangladesh,2021-07-07,2021,7,7
USX88694,B.1.617.2,ORF8 protein,119,Bangladesh,2021-07-07,2021,7,7
USX88695,B.1.617.2,nucleocapsid phosphoprotein,419,Bangladesh,2021-07-07,2021,7,7
USX88696,B.1.617.2,ORF10 protein,38,Bangladesh,2021-07-07,2021,7,7
USX88733,AY.122,ORF1ab polyprotein,7096,Bangladesh,2021-07-13,2021,7,13
USX88734,AY.122,ORF1a polyprotein,4405,Bangladesh,2021-07-13,2021,7,13
USX88735,AY.122,surface glycoprotein,1271,Bangladesh,2021-07-13,2021,7,13
USX88736,AY.122,ORF3a protein,275,Bangladesh,2021-07-13,2021,7,13
USX88737,AY.122,envelope protein,75,Bangladesh,2021-07-13,2021,7,13
USX88738,AY.122,membrane glycoprotein,222,Bangladesh,2021-07-13,2021,7,13
USX88739,AY.122,ORF6 protein,61,Bangladesh,2021-07-13,2021,7,13
USX88740,AY.122,ORF7a protein,121,Bangladesh,2021-07-13,2021,7,13
USX88741,AY.122,ORF7b protein,43,Bangladesh,2021-07-13,2021,7,13
USX88742,AY.122,ORF8 protein,119,Bangladesh,2021-07-13,2021,7,13
USX88743,AY.122,nucleocapsid phosphoprotein,419,Bangladesh,2021-07-13,2021,7,13
USX88744,AY.122,ORF10 protein,38,Bangladesh,2021-07-13,2021,7,13
USL56203,BA.2,ORF1ab polyprotein,7093,Bangladesh,2022-01-27,2022,1,27
USL56204,BA.2,ORF1a polyprotein,4402,Bangladesh,2022-01-27,2022,1,27
USL56205,BA.2,surface glycoprotein,1270,Bangladesh,2022-01-27,2022,1,27
USL56206,BA.2,ORF3a protein,275,Bangladesh,2022-01-27,2022,1,27
USL56207,BA.2,envelope protein,75,Bangladesh,2022-01-27,2022,1,27
USL56208,BA.2,membrane glycoprotein,222,Bangladesh,2022-01-27,2022,1,27
USL56209,BA.2,ORF6 protein,61,Bangladesh,2022-01-27,2022,1,27
USL56210,BA.2,ORF7a protein,121,Bangladesh,2022-01-27,2022,1,27
USL56211,BA.2,ORF7b protein,43,Bangladesh,2022-01-27,2022,1,27
USL56212,BA.2,ORF8 protein,121,Bangladesh,2022-01-27,2022,1,27
USL56213,BA.2,nucleocapsid phosphoprotein,416,Bangladesh,2022-01-27,2022,1,27
USL56214,BA.2,ORF10 protein,38,Bangladesh,2022-01-27,2022,1,27
USL56215,BA.2.10.1,ORF1ab polyprotein,7093,Bangladesh,2022-01-27,2022,1,27
USL56216,BA.2.10.1,ORF1a polyprotein,4402,Bangladesh,2022-01-27,2022,1,27
USL56217,BA.2.10.1,surface glycoprotein,1270,Bangladesh,2022-01-27,2022,1,27
USL56218,BA.2.10.1,ORF3a protein,275,Bangladesh,2022-01-27,2022,1,27
USL56219,BA.2.10.1,envelope protein,75,Bangladesh,2022-01-27,2022,1,27
USL56220,BA.2.10.1,membrane glycoprotein,222,Bangladesh,2022-01-27,2022,1,27
USL56221,BA.2.10.1,ORF6 protein,61,Bangladesh,2022-01-27,2022,1,27
USL56222,BA.2.10.1,ORF7a protein,121,Bangladesh,2022-01-27,2022,1,27
USL56223,BA.2.10.1,ORF7b protein,43,Bangladesh,2022-01-27,2022,1,27
USL56224,BA.2.10.1,ORF8 protein,121,Bangladesh,2022-01-27,2022,1,27
USL56225,BA.2.10.1,nucleocapsid phosphoprotein,416,Bangladesh,2022-01-27,2022,1,27
USL56226,BA.2.10.1,ORF10 protein,38,Bangladesh,2022-01-27,2022,1,27
UNK07133,BA.1,ORF1ab polyprotein,7092,Bangladesh,2022-01-03,2022,1,3
UNK07134,BA.1,ORF1a polyprotein,4401,Bangladesh,2022-01-03,2022,1,3
UNK07135,BA.1,surface glycoprotein,1270,Bangladesh,2022-01-03,2022,1,3
UNK07136,BA.1,ORF3a protein,275,Bangladesh,2022-01-03,2022,1,3
UNK07137,BA.1,envelope protein,75,Bangladesh,2022-01-03,2022,1,3
UNK07138,BA.1,membrane glycoprotein,222,Bangladesh,2022-01-03,2022,1,3
UNK07139,BA.1,ORF6 protein,61,Bangladesh,2022-01-03,2022,1,3
UNK07140,BA.1,ORF7a protein,121,Bangladesh,2022-01-03,2022,1,3
UNK07141,BA.1,ORF7b protein,43,Bangladesh,2022-01-03,2022,1,3
UNK07142,BA.1,ORF8 protein,121,Bangladesh,2022-01-03,2022,1,3
UNK07143,BA.1,nucleocapsid phosphoprotein,416,Bangladesh,2022-01-03,2022,1,3
UNK07144,BA.1,ORF10 protein,38,Bangladesh,2022-01-03,2022,1,3
UNK07229,BA.1.1,ORF1ab polyprotein,7092,Bangladesh,2022-01-16,2022,1,16
UNK07230,BA.1.1,ORF1a polyprotein,4401,Bangladesh,2022-01-16,2022,1,16
UNK07231,BA.1.1,surface glycoprotein,1270,Bangladesh,2022-01-16,2022,1,16
UNK07232,BA.1.1,ORF3a protein,275,Bangladesh,2022-01-16,2022,1,16
UNK07233,BA.1.1,envelope protein,75,Bangladesh,2022-01-16,2022,1,16
UNK07234,BA.1.1,membrane glycoprotein,222,Bangladesh,2022-01-16,2022,1,16
UNK07235,BA.1.1,ORF6 protein,61,Bangladesh,2022-01-16,2022,1,16
UNK07236,BA.1.1,ORF7a protein,121,Bangladesh,2022-01-16,2022,1,16
UNK07237,BA.1.1,ORF7b protein,43,Bangladesh,2022-01-16,2022,1,16
UNK07238,BA.1.1,ORF8 protein,121,Bangladesh,2022-01-16,2022,1,16
UNK07239,BA.1.1,nucleocapsid phosphoprotein,416,Bangladesh,2022-01-16,2022,1,16
UNK07240,BA.1.1,ORF10 protein,38,Bangladesh,2022-01-16,2022,1,16
UNK07253,BA.2.37,ORF1ab polyprotein,7093,Bangladesh,2022-01-20,2022,1,20
UNK07254,BA.2.37,ORF1a polyprotein,4402,Bangladesh,2022-01-20,2022,1,20
UNK07255,BA.2.37,surface glycoprotein,1270,Bangladesh,2022-01-20,2022,1,20
UNK07256,BA.2.37,ORF3a protein,275,Bangladesh,2022-01-20,2022,1,20
UNK07257,BA.2.37,envelope protein,75,Bangladesh,2022-01-20,2022,1,20
UNK07258,BA.2.37,membrane glycoprotein,222,Bangladesh,2022-01-20,2022,1,20
UNK07259,BA.2.37,ORF6 protein,61,Bangladesh,2022-01-20,2022,1,20
UNK07260,BA.2.37,ORF7a protein,121,Bangladesh,2022-01-20,2022,1,20
UNK07261,BA.2.37,ORF7b protein,43,Bangladesh,2022-01-20,2022,1,20
UNK07262,BA.2.37,ORF8 protein,121,Bangladesh,2022-01-20,2022,1,20
UNK07263,BA.2.37,nucleocapsid phosphoprotein,416,Bangladesh,2022-01-20,2022,1,20
UNK07264,BA.2.37,ORF10 protein,38,Bangladesh,2022-01-20,2022,1,20
UNK07385,BA.1.18,ORF1ab polyprotein,7092,Bangladesh,2022-01-06,2022,1,6
UNK07386,BA.1.18,ORF1a polyprotein,4401,Bangladesh,2022-01-06,2022,1,6
UNK07387,BA.1.18,surface glycoprotein,1270,Bangladesh,2022-01-06,2022,1,6
UNK07388,BA.1.18,ORF3a protein,275,Bangladesh,2022-01-06,2022,1,6
UNK07389,BA.1.18,envelope protein,75,Bangladesh,2022-01-06,2022,1,6
UNK07390,BA.1.18,membrane glycoprotein,222,Bangladesh,2022-01-06,2022,1,6
UNK07391,BA.1.18,ORF6 protein,61,Bangladesh,2022-01-06,2022,1,6
UNK07392,BA.1.18,ORF7a protein,121,Bangladesh,2022-01-06,2022,1,6
UNK07393,BA.1.18,ORF7b protein,43,Bangladesh,2022-01-06,2022,1,6
UNK07394,BA.1.18,ORF8 protein,121,Bangladesh,2022-01-06,2022,1,6
UNK07395,BA.1.18,nucleocapsid phosphoprotein,416,Bangladesh,2022-01-06,2022,1,6
UNK07396,BA.1.18,ORF10 protein,38,Bangladesh,2022-01-06,2022,1,6
UNA47222,B.1.1.25,ORF1ab polyprotein,7096,Bangladesh,2020-07-11,2020,7,11
UNA47223,B.1.1.25,ORF1a polyprotein,4405,Bangladesh,2020-07-11,2020,7,11
UNA47224,B.1.1.25,surface glycoprotein,1273,Bangladesh,2020-07-11,2020,7,11
UNA47225,B.1.1.25,ORF3a protein,275,Bangladesh,2020-07-11,2020,7,11
UNA47226,B.1.1.25,envelope protein,75,Bangladesh,2020-07-11,2020,7,11
UNA47227,B.1.1.25,membrane glycoprotein,222,Bangladesh,2020-07-11,2020,7,11
UNA47228,B.1.1.25,ORF6 protein,61,Bangladesh,2020-07-11,2020,7,11
UNA47229,B.1.1.25,ORF7a protein,121,Bangladesh,2020-07-11,2020,7,11
UNA47230,B.1.1.25,ORF7b protein,43,Bangladesh,2020-07-11,2020,7,11
UNA47231,B.1.1.25,ORF8 protein,121,Bangladesh,2020-07-11,2020,7,11
UNA47232,B.1.1.25,nucleocapsid phosphoprotein,419,Bangladesh,2020-07-11,2020,7,11
UNA47233,B.1.1.25,ORF10 protein,38,Bangladesh,2020-07-11,2020,7,11
UNA47246,B.1.36.16,ORF1ab polyprotein,7096,Bangladesh,2020-07-07,2020,7,7
UNA47247,B.1.36.16,ORF1a polyprotein,4405,Bangladesh,2020-07-07,2020,7,7
UNA47248,B.1.36.16,surface glycoprotein,1273,Bangladesh,2020-07-07,2020,7,7
UNA47249,B.1.36.16,ORF3a protein,275,Bangladesh,2020-07-07,2020,7,7
UNA47250,B.1.36.16,envelope protein,75,Bangladesh,2020-07-07,2020,7,7
UNA47251,B.1.36.16,membrane glycoprotein,222,Bangladesh,2020-07-07,2020,7,7
UNA47252,B.1.36.16,ORF6 protein,61,Bangladesh,2020-07-07,2020,7,7
UNA47253,B.1.36.16,ORF7a protein,121,Bangladesh,2020-07-07,2020,7,7
UNA47254,B.1.36.16,ORF7b protein,43,Bangladesh,2020-07-07,2020,7,7
UNA47255,B.1.36.16,ORF8 protein,121,Bangladesh,2020-07-07,2020,7,7
UNA47256,B.1.36.16,nucleocapsid phosphoprotein,419,Bangladesh,2020-07-07,2020,7,7
UNA47257,B.1.36.16,ORF10 protein,38,Bangladesh,2020-07-07,2020,7,7
UNA47258,B.1.36.8,ORF1ab polyprotein,7096,Bangladesh,2020-07-13,2020,7,13
UNA47259,B.1.36.8,ORF1a polyprotein,4405,Bangladesh,2020-07-13,2020,7,13
UNA47260,B.1.36.8,surface glycoprotein,1273,Bangladesh,2020-07-13,2020,7,13
UNA47261,B.1.36.8,ORF3a protein,275,Bangladesh,2020-07-13,2020,7,13
UNA47262,B.1.36.8,envelope protein,75,Bangladesh,2020-07-13,2020,7,13
UNA47263,B.1.36.8,membrane glycoprotein,222,Bangladesh,2020-07-13,2020,7,13
UNA47264,B.1.36.8,ORF6 protein,61,Bangladesh,2020-07-13,2020,7,13
UNA47265,B.1.36.8,ORF7a protein,121,Bangladesh,2020-07-13,2020,7,13
UNA47266,B.1.36.8,ORF7b protein,43,Bangladesh,2020-07-13,2020,7,13
UNA47267,B.1.36.8,ORF8 protein,121,Bangladesh,2020-07-13,2020,7,13
UNA47268,B.1.36.8,nucleocapsid phosphoprotein,419,Bangladesh,2020-07-13,2020,7,13
UNA47269,B.1.36.8,ORF10 protein,38,Bangladesh,2020-07-13,2020,7,13
UNA47402,B.1.1.25,ORF1ab polyprotein,7096,Bangladesh,2020-09-09,2020,9,9
UNA47403,B.1.1.25,ORF1a polyprotein,4405,Bangladesh,2020-09-09,2020,9,9
UNA47404,B.1.1.25,surface glycoprotein,1273,Bangladesh,2020-09-09,2020,9,9
UNA47405,B.1.1.25,ORF3a protein,275,Bangladesh,2020-09-09,2020,9,9
UNA47406,B.1.1.25,envelope protein,75,Bangladesh,2020-09-09,2020,9,9
UNA47407,B.1.1.25,membrane glycoprotein,222,Bangladesh,2020-09-09,2020,9,9
UNA47408,B.1.1.25,ORF6 protein,61,Bangladesh,2020-09-09,2020,9,9
UNA47409,B.1.1.25,ORF7a protein,121,Bangladesh,2020-09-09,2020,9,9
UNA47410,B.1.1.25,ORF7b protein,43,Bangladesh,2020-09-09,2020,9,9
UNA47411,B.1.1.25,ORF8 protein,121,Bangladesh,2020-09-09,2020,9,9
UNA47412,B.1.1.25,nucleocapsid phosphoprotein,419,Bangladesh,2020-09-09,2020,9,9
UNA47413,B.1.1.25,ORF10 protein,38,Bangladesh,2020-09-09,2020,9,9
UNA47471,B.1.1.25,ORF1ab polyprotein,7096,Bangladesh,2020-08-11,2020,8,11
UNA47472,B.1.1.25,ORF1a polyprotein,4405,Bangladesh,2020-08-11,2020,8,11
UNA47473,B.1.1.25,surface glycoprotein,1273,Bangladesh,2020-08-11,2020,8,11
UNA47474,B.1.1.25,ORF3a protein,275,Bangladesh,2020-08-11,2020,8,11
UNA47475,B.1.1.25,envelope protein,75,Bangladesh,2020-08-11,2020,8,11
UNA47476,B.1.1.25,membrane glycoprotein,222,Bangladesh,2020-08-11,2020,8,11
UNA47477,B.1.1.25,ORF6 protein,61,Bangladesh,2020-08-11,2020,8,11
UNA47478,B.1.1.25,ORF7a protein,121,Bangladesh,2020-08-11,2020,8,11
UNA47479,B.1.1.25,ORF7b protein,43,Bangladesh,2020-08-11,2020,8,11
UNA47480,B.1.1.25,ORF8 protein,121,Bangladesh,2020-08-11,2020,8,11
UNA47481,B.1.1.25,nucleocapsid phosphoprotein,419,Bangladesh,2020-08-11,2020,8,11
UNA47482,B.1.1.25,ORF10 protein,38,Bangladesh,2020-08-11,2020,8,11
UNA47531,B.1.1.25,ORF1ab polyprotein,7096,Bangladesh,2020-10-23,2020,10,23
