Accession,Pangolin,Protein,Length,Country,Collection_Date,Year,Month,Day
UVJ69524,BA.2.12.1,ORF1ab polyprotein,7093,Colombia,2022-05-29,2022,5,29
UVJ69525,BA.2.12.1,ORF1a polyprotein,4402,Colombia,2022-05-29,2022,5,29
UVJ69526,BA.2.12.1,surface glycoprotein,1270,Colombia,2022-05-29,2022,5,29
UVJ69527,BA.2.12.1,ORF3a protein,275,Colombia,2022-05-29,2022,5,29
UVJ69528,BA.2.12.1,envelope protein,75,Colombia,2022-05-29,2022,5,29
UVJ69529,BA.2.12.1,membrane glycoprotein,222,Colombia,2022-05-29,2022,5,29
UVJ69530,BA.2.12.1,ORF6 protein,61,Colombia,2022-05-29,2022,5,29
UVJ69531,BA.2.12.1,ORF7a protein,121,Colombia,2022-05-29,2022,5,29
UVJ69532,BA.2.12.1,ORF7b protein,40,Colombia,2022-05-29,2022,5,29
UVJ69533,BA.2.12.1,ORF8 protein,121,Colombia,2022-05-29,2022,5,29
UVJ69534,BA.2.12.1,nucleocapsid phosphoprotein,416,Colombia,2022-05-29,2022,5,29
UVJ69535,BA.2.12.1,ORF10 protein,38,Colombia,2022-05-29,2022,5,29
UVJ69582,BA.1.1,ORF1ab polyprotein,7092,Colombia,2022-01-25,2022,1,25
UVJ69583,BA.1.1,ORF1a polyprotein,4401,Colombia,2022-01-25,2022,1,25
UVJ69584,BA.1.1,surface glycoprotein,1270,Colombia,2022-01-25,2022,1,25
UVJ69585,BA.1.1,ORF3a protein,275,Colombia,2022-01-25,2022,1,25
UVJ69586,BA.1.1,envelope protein,75,Colombia,2022-01-25,2022,1,25
UVJ69587,BA.1.1,membrane glycoprotein,222,Colombia,2022-01-25,2022,1,25
UVJ69588,BA.1.1,ORF6 protein,61,Colombia,2022-01-25,2022,1,25
UVJ69589,BA.1.1,ORF7a protein,121,Colombia,2022-01-25,2022,1,25
UVJ69590,BA.1.1,ORF7b protein,43,Colombia,2022-01-25,2022,1,25
UVJ69591,BA.1.1,ORF8 protein,121,Colombia,2022-01-25,2022,1,25
UVJ69592,BA.1.1,nucleocapsid phosphoprotein,416,Colombia,2022-01-25,2022,1,25
UVJ69593,BA.1.1,ORF10 protein,38,Colombia,2022-01-25,2022,1,25
UVJ69594,BA.5.6,ORF1ab polyprotein,7093,Colombia,2022-06-24,2022,6,24
UVJ69595,BA.5.6,ORF1a polyprotein,4402,Colombia,2022-06-24,2022,6,24
UVJ69596,BA.5.6,surface glycoprotein,1268,Colombia,2022-06-24,2022,6,24
UVJ69597,BA.5.6,ORF3a protein,275,Colombia,2022-06-24,2022,6,24
UVJ69598,BA.5.6,envelope protein,75,Colombia,2022-06-24,2022,6,24
UVJ69599,BA.5.6,membrane glycoprotein,222,Colombia,2022-06-24,2022,6,24
UVJ69600,BA.5.6,ORF6 protein,61,Colombia,2022-06-24,2022,6,24
UVJ69601,BA.5.6,ORF7a protein,121,Colombia,2022-06-24,2022,6,24
UVJ69602,BA.5.6,ORF7b protein,43,Colombia,2022-06-24,2022,6,24
UVJ69603,BA.5.6,ORF8 protein,121,Colombia,2022-06-24,2022,6,24
UVJ69604,BA.5.6,nucleocapsid phosphoprotein,416,Colombia,2022-06-24,2022,6,24
UVJ69605,BA.5.6,ORF10 protein,38,Colombia,2022-06-24,2022,6,24
UVJ69606,BA.1.1,ORF1ab polyprotein,7092,Colombia,2022-03-28,2022,3,28
UVJ69607,BA.1.1,ORF1a polyprotein,4401,Colombia,2022-03-28,2022,3,28
UVJ69608,BA.1.1,surface glycoprotein,1270,Colombia,2022-03-28,2022,3,28
UVJ69609,BA.1.1,ORF3a protein,275,Colombia,2022-03-28,2022,3,28
UVJ69610,BA.1.1,envelope protein,75,Colombia,2022-03-28,2022,3,28
UVJ69611,BA.1.1,membrane glycoprotein,222,Colombia,2022-03-28,2022,3,28
