Accession,Pangolin,Protein,Length,Country,Collection_Date,Year,Month,Day
WAV05652,AY.20,ORF1ab polyprotein,7096,Mexico,2022-01-02,2022,1,2
WAV05653,AY.20,ORF1a polyprotein,4405,Mexico,2022-01-02,2022,1,2
WAV05654,AY.20,surface glycoprotein,1271,Mexico,2022-01-02,2022,1,2
WAV05655,AY.20,ORF3a protein,275,Mexico,2022-01-02,2022,1,2
WAV05656,AY.20,envelope protein,75,Mexico,2022-01-02,2022,1,2
WAV05657,AY.20,membrane glycoprotein,222,Mexico,2022-01-02,2022,1,2
WAV05658,AY.20,ORF6 protein,61,Mexico,2022-01-02,2022,1,2
WAV05659,AY.20,ORF7a protein,121,Mexico,2022-01-02,2022,1,2
WAV05660,AY.20,ORF7b protein,43,Mexico,2022-01-02,2022,1,2
WAV05661,AY.20,ORF8 protein,119,Mexico,2022-01-02,2022,1,2
WAV05662,AY.20,nucleocapsid phosphoprotein,419,Mexico,2022-01-02,2022,1,2
WAV05663,AY.20,ORF10 protein,38,Mexico,2022-01-02,2022,1,2
WAV08136,AY.26,ORF1ab polyprotein,7096,Mexico,2022-01-07,2022,1,7
WAV08137,AY.26,ORF1a polyprotein,4405,Mexico,2022-01-07,2022,1,7
WAV08138,AY.26,surface glycoprotein,1271,Mexico,2022-01-07,2022,1,7
WAV08139,AY.26,ORF3a protein,275,Mexico,2022-01-07,2022,1,7
WAV08140,AY.26,envelope protein,75,Mexico,2022-01-07,2022,1,7
WAV08141,AY.26,membrane glycoprotein,222,Mexico,2022-01-07,2022,1,7
WAV08142,AY.26,ORF6 protein,61,Mexico,2022-01-07,2022,1,7
WAV08143,AY.26,ORF7a protein,121,Mexico,2022-01-07,2022,1,7
WAV08144,AY.26,ORF7b protein,43,Mexico,2022-01-07,2022,1,7
WAV08145,AY.26,ORF8 protein,119,Mexico,2022-01-07,2022,1,7
WAV08146,AY.26,nucleocapsid phosphoprotein,419,Mexico,2022-01-07,2022,1,7
WAV08147,AY.26,ORF10 protein,38,Mexico,2022-01-07,2022,1,7
WAV08742,AY.113,ORF1ab polyprotein,7096,Mexico,2022-01-03,2022,1,3
WAV08743,AY.113,ORF1a polyprotein,4405,Mexico,2022-01-03,2022,1,3
WAV08744,AY.113,surface glycoprotein,1273,Mexico,2022-01-03,2022,1,3
WAV08745,AY.113,ORF3a protein,275,Mexico,2022-01-03,2022,1,3
WAV08746,AY.113,envelope protein,75,Mexico,2022-01-03,2022,1,3
WAV08747,AY.113,membrane glycoprotein,222,Mexico,2022-01-03,2022,1,3
WAV08748,AY.113,ORF6 protein,61,Mexico,2022-01-03,2022,1,3
WAV08749,AY.113,ORF7a protein,121,Mexico,2022-01-03,2022,1,3
WAV08750,AY.113,ORF7b protein,43,Mexico,2022-01-03,2022,1,3
WAV08751,AY.113,ORF8 protein,119,Mexico,2022-01-03,2022,1,3
WAV08752,AY.113,nucleocapsid phosphoprotein,419,Mexico,2022-01-03,2022,1,3
WAV08753,AY.113,ORF10 protein,38,Mexico,2022-01-03,2022,1,3
