Accession,Pangolin,Protein,Length,Country,Collection_Date,Year,Month,Day
WAQ35336,B.1.525,ORF1ab polyprotein,7093,Nigeria,2021-02-15,2021,2,15
WAQ35337,B.1.525,ORF1a polyprotein,4402,Nigeria,2021-02-15,2021,2,15
WAQ35338,B.1.525,surface glycoprotein,1270,Nigeria,2021-02-15,2021,2,15
WAQ35339,B.1.525,ORF3a protein,275,Nigeria,2021-02-15,2021,2,15
WAQ35340,B.1.525,envelope protein,75,Nigeria,2021-02-15,2021,2,15
WAQ35341,B.1.525,membrane glycoprotein,222,Nigeria,2021-02-15,2021,2,15
WAQ35342,B.1.525,ORF6 protein,60,Nigeria,2021-02-15,2021,2,15
WAQ35343,B.1.525,ORF7a protein,121,Nigeria,2021-02-15,2021,2,15
WAQ35344,B.1.525,ORF7b protein,43,Nigeria,2021-02-15,2021,2,15
WAQ35345,B.1.525,ORF8 protein,121,Nigeria,2021-02-15,2021,2,15
WAQ35346,B.1.525,nucleocapsid phosphoprotein,418,Nigeria,2021-02-15,2021,2,15
WAQ35347,B.1.525,ORF10 protein,38,Nigeria,2021-02-15,2021,2,15
WAQ35441,B.1.525,ORF1ab polyprotein,7093,Nigeria,2021-01-17,2021,1,17
WAQ35442,B.1.525,ORF1a polyprotein,4402,Nigeria,2021-01-17,2021,1,17
WAQ35443,B.1.525,surface glycoprotein,1272,Nigeria,2021-01-17,2021,1,17
WAQ35444,B.1.525,ORF3a protein,275,Nigeria,2021-01-17,2021,1,17
WAQ35445,B.1.525,envelope protein,75,Nigeria,2021-01-17,2021,1,17
WAQ35446,B.1.525,membrane glycoprotein,222,Nigeria,2021-01-17,2021,1,17
WAQ35447,B.1.525,ORF6 protein,60,Nigeria,2021-01-17,2021,1,17
WAQ35448,B.1.525,ORF7a protein,121,Nigeria,2021-01-17,2021,1,17
WAQ35449,B.1.525,ORF7b protein,43,Nigeria,2021-01-17,2021,1,17
WAQ35450,B.1.525,ORF8 protein,121,Nigeria,2021-01-17,2021,1,17
WAQ35451,B.1.525,nucleocapsid phosphoprotein,418,Nigeria,2021-01-17,2021,1,17
